3938	2	135837184	135787850	hsa00052
441282	7	134549110	134579869	hsa00052
5211	21	44300053	44327373	hsa00052
5213	12	48105353	48146404	hsa00052
5214	10	3067548	3136805	hsa00052
5236	1	63593411	63660245	hsa00052
55276	4	37826686	37862937	hsa00052
57016	7	134527567	134541412	hsa00052
57818	2	168901291	168910000	hsa00052
6476	3	165090232	164978898	hsa00052
7360	2	63840969	63891560	hsa00052
80201	10	69220332	69267552	hsa00052
8704	1	43979210	43991171	hsa00052
8972	7	141986518	142106747	hsa00052
92579	17	44070673	44076344	hsa00052
93432	7	142111718	142222324	hsa00052
10327	1	45550826	45570049	hsa00053
10720	4	69224984	69199951	hsa00053
10941	4	69653247	69588417	hsa00053
217	12	111766933	111817532	hsa00053
219	9	38392702	38398661	hsa00053
223	1	165698562	165662216	hsa00053
224	17	19648136	19677596	hsa00053
2990	7	65982213	65960684	hsa00053
501	5	126595219	126541841	hsa00053
54490	4	69280475	69295050	hsa00053
54575	2	233636448	233773300	hsa00053
54576	2	233617633	233773300	hsa00053
54577	2	233681901	233773300	hsa00053
54578	2	233691702	233773300	hsa00053
54579	2	233712907	233773300	hsa00053
54600	2	233671898	233773300	hsa00053
54657	2	233718736	233773300	hsa00053
54658	2	233760270	233773300	hsa00053
54659	2	233729042	233773300	hsa00053
55586	22	50486859	50490648	hsa00053
574537	4	69639642	69588417	hsa00053
7358	4	39527439	39498755	hsa00053
7363	4	69526014	69480165	hsa00053
7364	4	69051375	69112987	hsa00053
7365	4	68815994	68832023	hsa00053
7366	4	68670652	68646597	hsa00053
7367	4	68576322	68537173	hsa00053
79799	4	68951804	68928463	hsa00053
9104	X	47078443	47093313	hsa00053
9365	13	33016243	33066143	hsa00053
109703458	3	58306245	58320193	hsa00061
197322	16	89093852	89156233	hsa00061
2180	4	184826594	184755595	hsa00061
2181	2	222861036	222944639	hsa00061
2182	X	109733257	109641335	hsa00061
2194	17	82098236	82078338	hsa00061
23205	15	78234565	78167468	hsa00061
23305	5	132012213	131949973	hsa00061
27349	22	43143398	43132206	hsa00061
31	17	37406836	37084992	hsa00061
32	12	109111189	109268226	hsa00061
51102	1	29230934	29167696	hsa00061
51703	10	112374116	112428376	hsa00061
54995	3	25790090	25794531	hsa00061
55301	10	15032195	15073853	hsa00061
7923	6	33204655	33206831	hsa00061
81616	19	6135633	6193091	hsa00061
84869	4	169010255	168894486	hsa00061
10449	18	49813533	49782164	hsa00062
10965	14	73567620	73575658	hsa00062
11332	1	6393767	6264272	hsa00062
117145	1	151909511	151870866	hsa00062
122970	14	73591873	73595766	hsa00062
153364	5	90474771	90458209	hsa00062
1892	10	133373354	133362485	hsa00062
201562	3	123585053	123491554	hsa00062
284486	1	151853712	151847101	hsa00062
3030	2	26244632	26190635	hsa00062
3032	2	26244939	26290465	hsa00062
3033	4	107989889	108035171	hsa00062
401494	9	21031640	20999509	hsa00062
51102	1	29230934	29167696	hsa00062
51144	11	43556721	43856615	hsa00062
51495	15	65530463	65578349	hsa00062
54898	6	11044305	10980759	hsa00062
5538	1	40097252	40071461	hsa00062
60481	6	53348950	53267404	hsa00062
641371	14	73490933	73543796	hsa00062
64834	1	43368011	43363401	hsa00062
6785	6	79947553	79914814	hsa00062
79071	4	110199202	110045846	hsa00062
79993	5	60844269	60751791	hsa00062
83401	10	102224767	102229589	hsa00062
9200	10	17617374	17589032	hsa00062
9374	6	32153528	32163675	hsa00062
9524	19	14527726	14565980	hsa00062
10449	18	49813533	49782164	hsa00071
10455	6	4135575	4115706	hsa00071
113612	4	107931549	107953461	hsa00071
124	4	99290985	99276369	hsa00071
125	4	99321401	99304971	hsa00071
126	4	99352746	99336497	hsa00071
126129	19	49690662	49713731	hsa00071
127	4	99144297	99123658	hsa00071
128	4	99088788	99070978	hsa00071
130	4	99219246	99202639	hsa00071
131	4	99435342	99412263	hsa00071
1374	11	68844277	68754620	hsa00071
1375	22	50578612	50568861	hsa00071
1376	1	53196824	53214197	hsa00071
1632	16	2251587	2239402	hsa00071
